S,0,512,whole
S,0,128,eighth
G,4,64,16th
S,0,64,16th
G,4,64,16th
S,0,64,16th
G,4,64,16th
S,0,64,16th
E,4,512,half
S,0,128,eighth
F,4,64,16th
S,0,64,16th
F,4,64,16th
S,0,64,16th
F,4,64,16th
S,0,64,16th
D,4,512,half
D,4,512,half
S,0,128,eighth
E,5,64,16th
S,0,64,16th
E,5,64,16th
S,0,64,16th
E,5,64,16th
S,0,64,16th
C,5,512,half
C,5,192,eighth
S,0,64,16th
S,0,256,quarter
S,0,512,whole
S,0,128,eighth
F,5,64,16th
S,0,64,16th
F,5,64,16th
S,0,64,16th
F,5,64,16th
S,0,64,16th
D,5,512,half
D,5,128,eighth
G,5,64,16th
S,0,64,16th
G,5,64,16th
S,0,64,16th
F,5,64,16th
S,0,64,16th
E,5,512,half
D,5,64,16th
S,0,64,16th
G,5,64,16th
S,0,64,16th
G,5,64,16th
S,0,64,16th
F,5,64,16th
S,0,64,16th
E,5,512,half
D,5,64,16th
S,0,64,16th
G,5,64,16th
S,0,64,16th
G,5,64,16th
S,0,64,16th
F,5,64,16th
S,0,64,16th
E,5,192,eighth
S,0,64,16th
S,0,256,quarter
F,4,192,eighth
C,5,128,eighth
S,0,64,16th
S,0,256,quarter
A,3,192,eighth
S,0,64,16th
S,0,256,quarter
B,4,512,half
G,5,512,half
G,3,192,eighth
D,4,128,eighth
S,0,64,16th
S,0,256,quarter
S,0,128,eighth
A,4,64,16th
S,0,64,16th
A,4,64,16th
S,0,64,16th
A,4,64,16th
S,0,64,16th
F,4,512,half
F,4,512,half
S,0,128,eighth
A,4,64,16th
S,0,64,16th
A,4,64,16th
S,0,64,16th
A,4,64,16th
S,0,64,16th
F,4,512,half
F,4,512,half
F,4,512,half
E,4,64,16th
S,0,64,16th
A,4,64,16th
S,0,64,16th
A,4,64,16th
S,0,64,16th
A,4,64,16th
S,0,64,16th
F,4,512,half
F,4,512,half
F,4,512,half
E,4,64,16th
S,0,64,16th
G,4,64,16th
S,0,64,16th
C,5,64,16th
S,0,64,16th
C,5,64,16th
S,0,64,16th
C,5,512,half
B,4,64,16th
S,0,64,16th
B,4,64,16th
S,0,64,16th
B,4,64,16th
S,0,64,16th
D,5,64,16th
S,0,64,16th
D,5,512,half
C,5,64,16th
S,0,64,16th
C,5,64,16th
S,0,64,16th
C,5,64,16th
S,0,64,16th
E,5,64,16th
S,0,64,16th
